product,store,date,demand
cordless screwdriver_1,Store_1,2022-10-24,88.0
cordless screwdriver_1,Store_1,2022-10-31,81.0
cordless screwdriver_1,Store_1,2022-11-07,57.0
cordless screwdriver_1,Store_1,2022-11-14,72.0
cordless screwdriver_1,Store_1,2022-11-21,95.0
cordless screwdriver_1,Store_1,2022-11-28,44.0
cordless screwdriver_1,Store_1,2022-12-05,69.0
cordless screwdriver_1,Store_1,2022-12-12,94.0
cordless screwdriver_1,Store_1,2022-12-19,59.0
cordless screwdriver_1,Store_1,2022-12-26,69.0
cordless screwdriver_1,Store_1,2023-01-02,78.0
cordless screwdriver_1,Store_1,2023-01-09,91.0
cordless screwdriver_1,Store_1,2023-01-16,70.0
cordless screwdriver_1,Store_1,2023-01-23,73.0
cordless screwdriver_1,Store_1,2023-01-30,75.0
cordless screwdriver_1,Store_1,2023-02-06,100.0
cordless screwdriver_1,Store_1,2023-02-13,106.0
cordless screwdriver_1,Store_1,2023-02-20,95.0
cordless screwdriver_1,Store_1,2023-02-27,94.0
cordless screwdriver_1,Store_1,2023-03-06,95.0
cordless screwdriver_1,Store_1,2023-03-13,100.0
cordless screwdriver_1,Store_1,2023-03-20,70.0
cordless screwdriver_1,Store_1,2023-03-27,95.0
cordless screwdriver_1,Store_1,2023-04-03,67.0
cordless screwdriver_1,Store_1,2023-04-10,66.0
cordless screwdriver_1,Store_1,2023-04-17,90.0
cordless screwdriver_1,Store_1,2023-04-24,56.0
cordless screwdriver_1,Store_1,2023-05-01,73.0
cordless screwdriver_1,Store_1,2023-05-08,68.0
cordless screwdriver_1,Store_1,2023-05-15,67.0
cordless screwdriver_1,Store_1,2023-05-22,41.0
cordless screwdriver_1,Store_1,2023-05-29,48.0
cordless screwdriver_1,Store_1,2023-06-05,61.0
cordless screwdriver_1,Store_1,2023-06-12,76.0
cordless screwdriver_1,Store_1,2023-06-19,71.0
cordless screwdriver_1,Store_1,2023-06-26,77.0
cordless screwdriver_1,Store_1,2023-07-03,89.0
cordless screwdriver_1,Store_1,2023-07-10,67.0
cordless screwdriver_1,Store_1,2023-07-17,81.0
